"client_name","adv_id","adgroup_id","ea","cat","date","cost($USD)","impression","cpm","click","ctr(%)","cpc","reach","frequency","lpv","cplpv","lpv_rate(%)","dlpv","cpdlpv","dlpv_rate(%)","atc","cp","cp_value","cp_roas"
"Coach","ADV6927760983595155458","TEST1818349487376386","DLPV","TEST","LifeTime",8979.15,1839923,4.88,22677,1.23,0.4,1213986,1.52,15504,0.58,68.37,8685,1.03,38.3,4376,303,79502.75,8.85
"Coach","ADV6927760983595155458","TEST1818349487376386","DLPV","TEST","D2024-12-24",583.75,74395,7.85,1360,1.83,0.43,67687,1.1,925,0.63,68.01,479,1.22,35.22,75,9,1870,3.2
"Coach","ADV6927760983595155458","TEST1818349487376386","DLPV","TEST","D2024-12-25",620.85,89355,6.95,1437,1.61,0.43,81881,1.09,1108,0.56,77.11,602,1.03,41.89,166,13,2806.25,4.52
"Coach","ADV6927760983595155458","TEST1818349487376386","DLPV","TEST","D2024-12-26",583.64,107699,5.42,1368,1.27,0.43,102574,1.05,954,0.61,69.74,567,1.03,41.45,267,22,4530,7.76
"Coach","ADV6927760983595155458","TEST1818349487376386","DLPV","TEST","D2024-12-27",594.09,110841,5.36,1452,1.31,0.41,105245,1.05,978,0.61,67.36,537,1.11,36.98,327,25,6594.5,11.1
"Coach","ADV6927760983595155458","TEST1818349487376386","DLPV","TEST","D2024-12-28",596.82,100536,5.94,1498,1.49,0.4,94634,1.06,1056,0.57,70.49,619,0.96,41.32,358,30,9823.5,16.46
"Coach","ADV6927760983595155458","TEST1818349487376386","DLPV","TEST","D2024-12-29",583.43,97430,5.99,1491,1.53,0.39,91316,1.07,1041,0.56,69.82,555,1.05,37.22,370,13,3475,5.96
"Coach","ADV6927760983595155458","TEST1818349487376386","DLPV","TEST","D2024-12-30",622.38,123232,5.05,1636,1.33,0.38,115298,1.07,1151,0.54,70.35,617,1.01,37.71,349,14,4225,6.79
"Coach","ADV6927760983595155458","TEST1818349487376386","DLPV","TEST","D2024-12-31",583.83,103853,5.62,1342,1.29,0.44,95306,1.09,964,0.61,71.83,505,1.16,37.63,203,20,4987,8.54
"Coach","ADV6927760983595155458","TEST1818349487376386","DLPV","TEST","D2025-01-01",610.22,146130,4.18,1701,1.16,0.36,131510,1.11,1198,0.51,70.43,643,0.95,37.8,315,19,5786.5,9.48
"Coach","ADV6927760983595155458","TEST1818349487376386","DLPV","TEST","D2025-01-02",606.97,145130,4.18,1647,1.13,0.37,133185,1.09,1187,0.51,72.07,644,0.94,39.1,346,27,7027.5,11.58
"Coach","ADV6927760983595155458","TEST1818349487376386","DLPV","TEST","D2025-01-03",609.73,156108,3.91,1634,1.05,0.37,144430,1.08,1094,0.56,66.95,660,0.92,40.39,347,21,5784,9.49
"Coach","ADV6927760983595155458","TEST1818349487376386","DLPV","TEST","D2025-01-04",583.44,145346,4.01,1569,1.08,0.37,134507,1.08,1023,0.57,65.2,622,0.94,39.64,248,19,4570,7.83
